Index,Title,Authors,Categories,Abstract
1,Synergetics and Its Application to Literature and Architecture,"V. P. Maslov, T. V. Maslova","nlin.AO, physics.soc-ph","A series of phenomena pertaining to economics, quantum physics, language, literary criticism, and especially architecture is studied from the standpoint of synergetics (the study of self-organizing complex systems). It turns out that a whole series of concrete formulas describing these phenomena is identical in these different situations. This is the case of formulas relating to the Bose-Einstein distribution of particles and the distribution of words from a frequency dictionary. This also allows to apply a ""quantized"" from of the Zipf law to the problem of the authorship of 'Quiet Flows the Don' and to the""blending in"" of new architectural structures in an existing environment."
2,Analyzing Walter Skeat's Forty-Five Parallel Extracts of William   Langland's Piers Plowman,Roger Bilisoly,"stat.AP, cs.CL","Walter Skeat published his critical edition of William Langland's 14th century alliterative poem, Piers Plowman, in 1886. In preparation for this he located forty-five manuscripts, and to compare dialects, he published excerpts from each of these. This paper does three statistical analyses using these excerpts, each of which mimics a task he did in writing his critical edition. First, he combined multiple versions of a poetic line to create a best line, which is compared to the mean string that is computed by a generalization of the arithmetic mean that uses edit distance. Second, he claims that a certain subset of manuscripts varies little. This is quantified by computing a string variance, which is closely related to the above generalization of the mean. Third, he claims that the manuscripts fall into three groups, which is a clustering problem that is addressed by using edit distance. The overall goal is to develop methodology that would be of use to a literary critic."
3,BourbOulipo. Relazioni tra Oulipo e Bourbaki,"Elena Toscano, M. Alessandra Vaccaro",math.HO,"The theme of the influence of Bourbaki's ideas and methodologies on disciplines that transcend the mathematical field has been frequently addressed and, in particular, the reflection on the relationship between Bourbaki and Oulipo has animated a passionate debate within literary criticism. The purpose of this contribution is to investigate the relations between Le Lionnais, Queneau and Roubaud - and more generally Oulipo - and Bourbaki. Through a comparative examination between the two groups, the existence of an undeniable charisma of the ""polycephalic mathematician"" on the artistic-literary movement was highlighted."
4,The Science Wars: a pox on both their houses,Stephen Boughn,physics.hist-ph,"According to physicist David Mermin, the science wars was a series of exchanges between scientists and ""sociologists, historians, and literary critics"" whom the scientists thought to be ""ludicrously ignorant of science, making all kinds of nonsensical pronouncements."" The science wars peaked in 1996 with the publication of a hoax article by physicist Alan Sokal in a cultural studies journal and then seemed mercifully to die away by the end of the 1990's. I recently noticed, however, that the kerfuffle has persisted. This motivated me to pen this essay and point out the silliness of the entire affair."
5,Edgar Allan Poe: the first man to conceive a Newtonian evolving Universe,"Paolo Molaro, Alberto Cappi","physics.hist-ph, astro-ph.CO","The notion that we live in an evolving universe was established only in the twentieth century with the discovery of the recession of galaxies by Hubble and with the Lemaitre and Friedmann's interpretation in the 1920s.   However, the concept of an evolving universe is intrinsically tied to the law of universal gravitation, and it is surprising that it remained unrecognized for more than two centuries. A remarkable exception to this lack of awareness is represented by Poe. In Eureka (1848), the writer developed a conception of an evolving universe following the reasoning that a physical universe cannot be static and nothing can stop stars or galaxies from collapsing on each other. Unfortunately this literary work was, and still is, very little understood both by the literary critics and scientists of the time. We will discuss Poe's cosmological views in their historical scientific context, highlighting the remarkable insights of the writer, such as those dealing with the Olbers paradox, the existence of other galaxies and of a multi-universe."
6,On the transmission of texts: written cultures as complex systems,"Jean-Baptiste Camps, Julien Randon-Furling, Ulysse Godreau","physics.soc-ph, cond-mat.dis-nn, math.PR","Our knowledge of past cultures relies considerably on written material. For centuries, texts have been copied, altered, then transmitted or lost - eventually, from surviving documents, philologists attempt to reconstruct text phylogenies (""stemmata""), and past written cultures. Nonetheless, fundamental questions on the extent of losses, representativeness of surviving artefacts, and the dynamics of text genealogies have remained open since the earliest days of philology. To address these, we radically rethink the study of text transmission through a complexity science approach, integrating stochastic modelling, computer simulations, and data analysis, in a parsimonious mindset akin to statistical physics and evolutionary biology. Thus, we design models that are simple and general, while accounting for diachrony and other key aspects of the dynamical process underlying text phylogenies, such as the extinction of entire branches or trees. On the well-known case study of Medieval French chivalric literature, we find that up to 60% of texts and 99% of manuscripts were lost (consistent with recent synchronic ""biodiversity"" analyses). We also settle a hundred-year-old controversy on the bifidity of stemmata. Further, our null model suggests that pure chance (""drift"") is not the only mechanism at play, and we provide a theoretical and empirical framework for future investigation."
7,Classical Philology. Notes on Fermat's way of thinking,V. Pizzigoni,"math.HO, 01A45",This study use some philological and historical means in order to understand Fermat's way of thinking.
8,Provenance of the Cross Sign of 806 in the Anglo-Saxon Chronicle: A   possible Lunar Halo over Continental Europe?,"Yuta Uchikawa, Les Cowley, Hisashi Hayakawa, David M. Willis, F. Richard Stephenson","physics.hist-ph, astro-ph.EP, physics.ao-ph, physics.geo-ph","While graphical records of astronomical/meteorological events before telescopic observations are of particular interest, they have frequently undergone multiple copying and may have been modified from the original. Here, we analyze a graphical record of the cross-sign of 806 CE in the Anglo-Saxon Chronicle, which has been considered one of the earliest datable halo drawings in British records, whereas another cross-sign in 776 CE has been associated with the aurora. However, philological studies have revealed the later 806 event is derived from Continental annals. Here, records and drawings for the 806 event have been philologically traced back to mid-9th Century Continental manuscripts and the probable observational site identified as the area of Sens in northern France. The possible lunar halos at that time have been comprehensively examined by numerical ray tracing. Combined with calculations of twilight sky brightness, they identify a visibility window supporting monastic observation. Cruciform halos are shown to be fainter and rarer than brighter and more commonplace lunar halos. Physically credible cloud ice crystal variations can reproduce all the manuscript renditions. The manuscript records prove less than desirable detail but what is presented is fully consistent with a lunar halo interpretation. Finally, the possible societal impacts of such celestial events have been mentioned in the context of contemporary coins in Anglo-Saxon England and the Carolingian Empire. These analyses show that we need to trace their provenance back as far as possible, to best reconstruct the original event, even if graphical records are available for given astronomical/meteorological events."
9,From Past to Future: Digital Methods Towards Artefact Analysis,"Andrew Harris, Andrea Cremaschi, Tse Siang Lim, Maria De Iorio, Kwa Chong Guan",stat.AP,"Over the past two decades, Digital Humanities has transformed the landscape of humanities and social sciences, enabling advanced computational analysis and interpretation of extensive datasets. Notably, recent initiatives in Southeast Asia, particularly in Singapore, focus on categorising and archiving historical data such as artwork, literature and, most notably archaeological artefacts. This study illustrates the profound potential of Digital Humanities through the application of statistical methods on two distinct artefact datasets. Specifically, we present the results of an automated die study on mid-1st millennium AD ""Rising Sun"" coinage from mainland Southeast Asia, while subsequently utilising unsupervised statistical methods on 2D images of 13th-14th century earthenware ceramics excavated from the precolonial St. Andrew's Cathedral site in central Singapore. This research offers a comparative assessment showcasing the transformative impact of statistics-based approaches on the interpretation and analysis of diverse archaeological materials and within Digital Humanities overall."
10,Tables in Leibniz: a challenge for the digital humanities,Ariles Remaki,math.HO,"Leibniz's mathematical texts are a perfect example of a type of historical document that is extremely difficult to deal with in the context of an editorial enterprise: the draft. The tables in Leibniz's mathematical manuscripts are a particularly good example of these difficulties, as they are equivocal sources containing many implicit operations. The publication of these texts raises the question of the nature of these signs and the economy of implicit relationships between their various components. Peirce's semiological approach provides the philosophical ground for these reflections, while Michel Serres's structuralism is a fertile source of inspiration. The digital tool holds much promise for many issues, including the particular difficulties of tables. We will show that it can be implemented by different computer structures which largely determine the way the historian conceives them a priori but also the way the reader receives them a posteriori. Finally, the tables are the simple case that founds a general problematic on the interpretation of many manuscripts and allows us to study the problem of the writing process at its root."
